Nama Produk,Komentar,Penilaian
SAMBAL CUMI ASIN MR. CRISPY,"Rasanya bikin mau nambah terusss pedes asin nya tuh passs cumi nya enak bgt, pas bgt emang top dehh",5
SAMBAL CUMI ASIN MR. CRISPY,"Packing dan pengiriman cukup cepat. Packaging nya bagus dan kokoh, segel kaleng jg gitu bentuknya. Gurih, pedas, enak dan harganya jg oke. Pasti order lagi nanti ",5
SAMBAL CUMI PETE MR. CRISPY,"Packingnya higienis, packing sgt bagus. Semoga makin lancar usahanya. Thx ya.",5
SAMBAL CUMI ASIN MR. CRISPY,"Recommend seller pokonya, classy batt, packingnya super aman, rasanya masyaAllah, cuminya juga enggak pelit, pasukan 12.12 aman",5
SAMBAL NAGIH - ANEKA SAMBAL ICIP ICIP VARIASI BAWANG ICIP 35 GR,"Pengemasan aman dan cepat, packaging produk pun aman. Thx ya semoga berkah",5
SAMBAL NAGIH - ANEKA SAMBAL ICIP ICIP VARIASI CABE IJO ICIP 35 GR,Produk original Harga produk lumayan tidak bikin kantong bolong Ini pembelian ke dua dengan berbeda rasa,5
SAMBAL NAGIH - ANEKA SAMBAL ICIP ICIP VARIASI ROA ICIP 35 GR,Kukira di kasih buble eh gak Alhamdulillah gk bocor pengemasan baik cuma pas nyobain yg cumi nyagrek bgt bawangnya kukira cuminya bnyk ternyata satu cumi di potong 5 bagian sambel roa blm di coba semog beda rasanya dan lebih endolita,5
SAMBEL MERTUA - SAMBEL BAWANG LEVEL 5,Gila rasanya mantap banget! pengiriman dan respon penjual juga cepat!,5
SAMBEL MERTUA - SAMBEL BAWANG LEVEL 5,"Tidak akan sia-sia berkali-kali order ""Sambel Mertua"" ini, dari yg ga nafsu makan jadi doyan makan karena sambelnya mak nyusss",5
"Sambal Sassi - SAMBAL KOREK (Sambal Bawang), isi 135gr",Sambal korek enak utk makan tempe atau ikan pake nasi hangat. Packaging oke bgt ga tumpah tumpah,5
"Sambal Sassi - SAMBAL KOREK (Sambal Bawang), isi 135gr","Sambelnya enak , dan tempatnya pun aman di kirm jauh gak bocor",5
AFS SAMBAL SACHET - VARIASI: IKAN CAKALANG,"Sukaaa, pengen beli tapi nyoba yang ini dulu, rupanya enak. Next beli lebih banyak tengkyuuuuu",5
AFS SAMBAL SACHET - VARIASI: IKAN CAKALANG,"Alhamdulillah pesanan sampai.. Bungkusan.y sangat rapi,, maaf baru kasih nilai krna sibuk.. Bagiku yg g' begitu suka pedas.. Sambal ini bener"" pedes bgt enak...",5
AFS SAMBAL SACHET - VARIASI: BAWANG,Dapet baby gold dong udh pemasan yang ke 7 kali langsung pesan 200pcs udah gak ragu lagi dong dengan rasa dan kualitas nya loppp loppp the best banget sih ini sambel nya,5
AFS SAMBAL SACHET - VARIASI: TERI MEDAN,"Ini udah kedua kalinya order dan enak banget, cocok di lidah. Apalagi pedesnya yang waw, bikin nagih. Bakal langganan nih kayaknya",5
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Baby cumi,Jinak",Enak sambelnya ada baby cuminya lumayan terus ga pelit sih isinya pengiriman jg cpt bngt pesan langsung dikirim trimakasih sambal bojo☺️,5
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Baby cumi,Jinak","Maap baru kasih penilaian, udah 2X beli sambal disini, rasanya enak banget recommended banget buat yang suka sambal, pokoknya mantep dan rasanya nampol, terimakasih",5
Sambal Bawang Bu Rudy,"Packaging nya rapih dan aman. Selain Di laapisin dengan buble wrap,produk juaga di bungkus dengan kardus. Sehingga produk yang di kirim aman selama proses pengiriman. Kualitas oke dan harga relatif. Rasa nya enak dan pedas.",5
SAMBAL PETAI MR. CRISPY,"Sambel pete nya sudah saya terima dengan baik dan bagus, semoga rasanya enak deh, karena saya belom buka",3
SAMBAL CUMI ASIN MR. CRISPY,Rasanya mnrt sy biasa aja kalo ini. Hny pedas dan asin aja. Pelayanan seller selalu baik dan gercep..,3
SAMBAL CUMI ASIN MR. CRISPY,"Beliin ini buat suami, katanya sambel cuminya rasanya enak, cocok di lidah dia, tipe yg gurih gk begitu pedes. Potongannya gede gede tapi cuma SEDIKIT untuk harga segitu, jadi ngga worth banget, sekaleng cuma bisa buat 2x makan doang. Mending beli di warteg aja harga segitu pasti dapet banyak",3
SAMBAL CUMI ASIN MR. CRISPY,"Pengiriman brg cukup lama,rasa sambalnya blm coba sih,cuman kelihatan terlalu berminyak,trimakasih penjual.",3
SAMBAL CUMI PETAI MR. CRISPY,"Untk kemasannya bagus ya,cm untk rasa biasa aj, sambel cumi pete biasanya tuh rasanya medok bau & rasa pete cumi, tpi ini biasa aja kurng gurih,pete & cuminya sdkit",3
SAMBAL CUMI ASIN MR. CRISPY,Cm kok g sesuai poto ya.. cuminya dipoto potongan bulat2 gt kak.. ini sprti baby cumi ya.. its oke bngett tpi sambalnya.. thanks kak,3
SAMBAL CUMI ASIN MR. CRISPY,"sambel ijo rasanya pait,ga pedes,asin,warnanya juga item beda jauh ama yg di gambar promosi nya. yg cumi asin rasanyapedesnya dikit,kebanyakan minyak aja semua, cuminya jg dikit,kirain bkln se enak itu.di perbaiki lagi deh rasanya,iya tau sesuai harga yg kebilang lmyn murah mi,cmn klo gini mah mau di mkn pun males,di buang mubazir,bungkusnya aja yg bagus masa.🤧",3
SAMBAL CUMI PETAI MR. CRISPY,"Baru pertama kali beli, ga baca isinya brp gram ternyata cm 120g kirain 200g. Lumayan mahal untuk harga sgtu karna isinya dikit. Tp pengenasannya bagus sih dan cepet bgt dikirimnya",3
SAMBAL CUMI PETAI MR. CRISPY,"Kiriman cpt, kemasan bagus rapi higienis, rasa enak, cuma yg sambel jengkolnya asem basi...mohon dicek sblm kirim...pdhl sy sengaja kirim pake gojek biar gk kelamaan dipengiriman",3
SAMBAL CUMI PETAI MR. CRISPY,"Rasanya enak. packing oke. Cuminya imut-imut, pete tak nampak, lumayanlah🤭. Cocok untuk teman nasi hangat.",3
